dc,native_elems,latent_elems,bytes_ratio,rl2_latent,logit_spearman,rl2_sparse_orig,rl2_sparse_latent,sparse_support,model,regime,layer
192,256,192,0.75,0.05196144529821766,0.999879008268245,8.826810237749876e-05,0.05199216279313241,0.9878048780487805,0.5B,longdoc,7
192,256,192,0.75,0.12865767334004177,0.9998419626987405,0.004258746554217178,0.12994274565819408,1.0,0.5B,longdoc,7
256,256,256,1.0,7.167157797691694e-07,0.9999999993015081,0.00020667199289101738,0.00020720243858274415,1.0,0.5B,longdoc,7
256,256,256,1.0,1.4436767686954291e-06,0.9999999991268851,0.007266204103325592,0.007266791222371042,1.0,0.5B,longdoc,7
256,256,256,1.0,1.1600469357064179e-06,1.0,0.004031601675573837,0.004031609494167346,1.0,0.5B,longdoc,7
256,256,256,1.0,4.6136979555562295e-06,0.9999999991268851,8.826810237749876e-05,8.982716189592187e-05,1.0,0.5B,longdoc,7
256,256,256,1.0,3.4071489361332574e-06,0.999999999650754,0.004258746554217178,0.0042610479128285545,1.0,0.5B,longdoc,7
32,256,32,0.125,0.1482321596870817,0.9514539071992506,0.25026892229240694,0.23689170935101014,0.7073170731707317,0.5B,longdoc,8
32,256,32,0.125,0.5827133302922267,0.9710281795899416,9.384459985719423e-16,0.582713330292197,0.6951219512195121,0.5B,longdoc,8
32,256,32,0.125,0.3364275559840052,0.9560965875887141,0.006239899268847471,0.3418663324590823,0.7804878048780488,0.5B,longdoc,8
32,256,32,0.125,0.4940798951980951,0.9426525943724122,0.0113222792342952,0.49820035063466855,0.8048780487804879,0.5B,longdoc,8
32,256,32,0.125,0.7462549649549152,0.9465288893695445,0.008992815592536318,0.7601070282550974,0.6951219512195121,0.5B,longdoc,8
