prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,9,5,44,2.292867934385226,0.8313533813939936,0.15895539269424191,0.05874850913616125,0.9797846212955494,0.021463982295158116,0.5741095959682464,0.14392004203750733
short_qa,short,9,6,44,2.098827956079428,0.8550665338789618,0.15895539269424191,0.07329588177622393,0.981766297586316,0.01897910364057155,0.5941483652769005,0.0924413559390398
short_qa,short,9,7,44,8.243542803983739e-05,0.9772721694644493,0.06052422719234062,0.13706629470621934,0.9999999978833178,1.6086808540277813e-08,1.7279002927243898e-06,0.13406658723495593
short_qa,short,9,8,44,0.02355244950810568,0.9769874674306199,0.06052422719234062,0.640278332653077,0.9999967359440763,2.6404213884141074e-05,0.000407087711216471,0.1345817768422689
short_qa,short,9,9,44,0.0063825736004401315,0.977203151965768,0.06052422719234062,0.37553570521626156,0.9999995241853111,3.5132250319257803e-06,7.275486628973968e-05,0.13420196797655237
short_qa,short,9,10,44,0.16162952867115932,0.9742088208920346,0.06052422719234062,0.0519137607677429,0.9998302224363897,0.0014541337420569676,8.772299526500401,0.15946409436495426
short_qa,short,9,11,44,0.2676750227164975,0.9677723072258053,0.06052422719234062,0.0927225139080523,0.9972597272466849,0.024653753403748997,9.326300961953288,0.16994065144442064
short_qa,short,9,12,44,1.6001773106048123,0.8547985525790474,0.06052422719234062,0.008189435492919728,0.942866752903724,0.1941747209529718,2.980579504712165,0.18548873837105212
short_qa,short,9,13,44,0.5820101004596261,0.9596920784115484,0.06052422719234062,0.10984642269715472,0.998169626610727,0.01825148569546448,9.563679830547498,0.29705306433038176
short_qa,short,10,0,44,2.249588804272532,0.796019007090941,0.1433307684074574,0.13010887196932686,0.9203655304894154,0.1654325838360364,0.4194133947806282,0.3750109171136759
short_qa,short,10,1,44,1.2394453618250978,0.8862167079376218,0.1433307684074574,0.0112030982136897,0.9568701080345251,0.08270466655073269,0.1925697642721725,0.19702452415899427
short_qa,short,10,2,44,1.1056566509965666,0.946246823788281,0.1433307684074574,0.04661484058082088,0.999321348879718,0.001500085961508478,0.003762204216239763,0.5690163963539928
short_qa,short,10,3,44,1.9458337669212011,0.8646052180331392,0.1433307684074574,0.24437068444308263,0.9717712742226426,0.04946399512876485,0.17857655289114072,0.40573276055061624
short_qa,short,10,4,44,2.50820402301868,0.7692421643573065,0.1433307684074574,0.23079038889525494,0.932602588393216,0.12413973784533144,0.24432788967397456,0.19485738008534756
short_qa,short,10,5,44,2.5825669656638515,0.7543481274859317,0.1433307684074574,0.07457540226518145,0.9071686887834274,0.18567188403210955,0.26525829121160194,0.30487416088749675
short_qa,short,10,6,44,0.5815484520108479,0.9661277587925586,0.1433307684074574,0.07233910134176735,0.9999426402919174,6.527382399651083e-05,0.00639330561419977,0.1425685220890913
short_qa,short,10,7,44,1.5671255506453998,0.8892741374888687,0.17755698262077757,0.006354294812275896,0.9678498087325421,0.03844430293131534,0.07620874575910824,0.09691973005463676
short_qa,short,10,8,44,2.0384953819755913,0.8541413168853292,0.17755698262077757,0.027966516575919087,0.9639534604413825,0.030888426313582004,0.2834483368560245,0.21290387862277715
short_qa,short,10,9,44,2.1841752831556636,0.8217158811807149,0.17755698262077757,0.022978784068905078,0.9416362709149589,0.0683562322139269,0.22398808123958533,0.25949240456194195
short_qa,short,10,10,44,2.351499941034741,0.8054029146350797,0.17755698262077757,0.37647177464314785,0.9415189012851891,0.046551425249723444,0.8610259104023754,0.14795905166242704
short_qa,short,10,11,44,0.9692155151048617,0.9412827532472968,0.17755698262077757,0.12802710689280827,0.9955402206930167,0.0040850003903690835,0.04560917814574167,0.10787893185841595
short_qa,short,10,12,44,1.8812983970472907,0.8827313061589668,0.17755698262077757,0.20759799668016354,0.9898115626724059,0.010134400002508974,0.028221689900322252,0.2184151955571241
short_qa,short,10,13,44,1.8759784142830116,0.8612005640505118,0.17755698262077757,0.4134360540225468,0.9666337342568175,0.07138475823847935,0.2609256156163644,0.28766084660867836
short_qa,short,11,0,44,1.5973769510550984,0.9052219987401486,0.08398935203237815,0.011728768851304139,0.9877645980161309,0.01905374701515505,0.0805181605451935,0.6314237772422135
short_qa,short,11,1,44,0.2975307864101248,0.9686641425588239,0.08398935203237815,0.08234030674674653,0.9983501868310625,0.0029545163578111396,0.01007317587317389,0.15776534757415048
short_qa,short,11,2,44,1.3101945037371552,0.9073282084768489,0.08398935203237815,0.30218793831707824,0.9775280101415766,0.04120148120892482,0.10060079260959923,0.3772021722255831
short_qa,short,11,3,44,2.0604601782198153,0.761337044368906,0.08398935203237815,0.014342119561612243,0.8839280999653233,0.2174385177746492,0.43662445577599707,0.33480768040311504
short_qa,short,11,4,44,1.4715581747284117,0.902492741036612,0.08398935203237815,0.018805157832332497,0.9823035060538767,0.01703594206389904,0.05582411703485285,0.1802225685520394
short_qa,short,11,5,44,2.4960821060664258,0.7803196966486179,0.08398935203237815,0.014777538810344382,0.9318416116196083,0.09040029000541289,0.40208446320507785,0.3203664910211919
short_qa,short,11,6,44,1.8566299610913755,0.8019497292621401,0.08398935203237815,0.0019260488477264026,0.9077616031445067,0.19648645007677956,0.3673653219989095,0.36366601030075013
