prompt,regime,layer,head,T,method,param,budget,read,read_ratio,rel_l2,cosine,mass_retained,oracle_recall,pass_mod
short_qa,short,0,5,44,sink_recent_router,64,32,36,0.8181818181818182,1.531818092144546e-13,0.999999999988257,0.9999999999988302,0.875,True
short_qa,short,0,6,44,jl,8,8,8,0.18181818181818182,0.21925769700164083,0.9935620587317107,0.6363160953547765,0.375,False
short_qa,short,0,6,44,jl,16,8,8,0.18181818181818182,0.5931583847926265,0.9678393797320392,0.37499433351178924,0.25,False
short_qa,short,0,6,44,jl,32,8,8,0.18181818181818182,0.2659521530072102,0.9906414692651409,0.603515240144034,0.375,False
short_qa,short,0,6,44,jl,64,8,8,0.18181818181818182,0.4580088067786616,0.8921574352824018,0.02832006655881349,0.0,False
short_qa,short,0,6,44,jl,128,8,8,0.18181818181818182,0.6747517935121604,0.9442470236335855,0.09910115277520579,0.125,False
short_qa,short,0,6,44,block_centroid,32,8,12,0.2727272727272727,0.13383613977628256,0.9966897149248155,0.7866613844967815,0.75,False
short_qa,short,0,6,44,block_upperbound,32,8,32,0.7272727272727273,0.4935052323477514,0.8865504896406396,0.21333861550221841,0.25,False
short_qa,short,0,6,44,recency_router,64,8,8,0.18181818181818182,0.16276358219270448,0.9954350790443184,0.7569589074094464,0.625,False
short_qa,short,0,6,44,sink_recent_router,64,8,12,0.2727272727272727,0.16255705982480803,0.9954360230626328,0.7675521899064963,0.625,False
short_qa,short,0,6,44,jl,8,16,16,0.36363636363636365,0.102229105860891,0.9975005633618178,0.8235799843311649,0.5,False
short_qa,short,0,6,44,jl,16,16,16,0.36363636363636365,0.3126276336635639,0.9887941413247574,0.6949206489353941,0.4375,False
short_qa,short,0,6,44,jl,32,16,16,0.36363636363636365,0.2342342209218465,0.9917307628120511,0.6256393542435669,0.375,False
short_qa,short,0,6,44,jl,64,16,16,0.36363636363636365,0.40921138339823826,0.9225731836260656,0.08135451631944152,0.1875,False
short_qa,short,0,6,44,jl,128,16,16,0.36363636363636365,0.3770650367204499,0.984327793830971,0.6632142116636802,0.3125,False
short_qa,short,0,6,44,block_centroid,32,16,44,1.0,0.0,0.999999999991074,0.9999999999989999,1.0,True
short_qa,short,0,6,44,block_upperbound,32,16,32,0.7272727272727273,0.4935052323477514,0.8865504896406396,0.21333861550221841,0.625,False
